ma_mon,ten_mon,si_so_toi_da
LLCT120205,Kinh te chinh tri Mac - Lenin,45
LLCT120405,Chu nghia xa hoi khoa hoc,45
LLCT220514,Lich su Dang CSVN,45
LLCT120314,Tu tuong Ho Chi Minh,45
IVNC320905,Co so van hoa Viet Nam,45
GEFC220105,Kinh te hoc dai cuong,45
INLO220405,Nhap mon logic hoc,45
INMA220305,Nhap mon quan tri hoc,45
INSO321005,Nhap mon xa hoi hoc,45
IQMA220205,Nhap mon quan tri chat luong,45
LESK120190,Ky nang hoc tap dai hoc,45
GELA236939,Phap luat dai cuong,60
INIT130185,Nhap mon nganh CNTT,60
INPR140285,Nhap mon lap trinh,80
MATH132401,Toan 1,60
MATH143001,Dai so tuyen tinh va cau truc dai so,80
DIGR240485,Toan roi rac va ly thuyet do thi,80
EEEN234162,Dien tu can ban (CTT),60
LLCT130105,Triet hoc Mac - Lenin,60
MATH132501,Toan 2,60
MATH132901,Xac suat thong ke ung dung,60
PHYS111202,Thi nghiem Vat ly 1,30
PHYS130902,Vat ly 1,60
PRTE230385,Ky thuat lap trinh,60
CAAL230180,Kien truc may tinh va hop ngu,60
DASA230179,Cau truc du lieu va giai thuat,60
IPPA233277,Lap Trinh Python,60
NEES330380,Mang may tinh can ban,60
OOPR230279,Lap trinh huong doi tuong,60
PRBE214262,Thuc tap dien tu can ban,30
WOPS120390,Ky nang lam viec trong moi truong ky thuat,45
ENPS220591,Tam ly hoc ky su,45
ARIN330585,Tri tue nhan tao,60
DBSY240184,Co so du lieu,80
ENCS330537,Tieng Anh Chuyen nganh Khoa hoc May tinh,60
INOT231780,Van Vat Ket Noi,60
INSE330380,An toan thong tin,60
OPSY330280,He dieu hanh,60
WIPR230579,Lap trinh tren Windows,60
DBMS330284,He quan tri co so du lieu,60
MALE431984,Hoc may,60
SOEN330679,Cong nghe phan mem,60
WEPR330479,Lap trinh Web,60
CLCO332779,Dien toan dam may,60
DIPR430685,Xu ly anh so,60
ECOM430984,Thuong mai dien tu,60
ESYS431080,He thong nhung,60
FOIT331380,Ly thuyet thong tin,60
SPPR330885,Xu ly tieng noi,60
MOPR331279,Lap trinh di dong,60
